"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","member_casual","ride_length","day_of_week","year","month","day","time","date","hour","day_type"
"771AF2E63F38D673","classic_bike",2023-09-14 20:44:45,"2023-09-15 05:12:30","Sheridan Rd & Loyola Ave","RP-009","Sheridan Rd & Loyola Ave","RP-009","casual",10665,"Thursday","2023","09","14","20:44:45",2023-09-14,"20","Weekday"
"6B35092F23FD594A","classic_bike",2023-09-27 15:46:21,"2023-09-28 07:59:23","Pine Grove Ave & Irving Park Rd","TA1308000022","Halsted St & Fulton St","23003","casual",38582,"Wednesday","2023","09","27","15:46:21",2023-09-27,"15","Weekday"
"938F75B0EB33F816","classic_bike",2023-09-15 23:53:57,"2023-09-17 00:53:48","Morgan St & 18th St","13163","","","casual",70191,"Friday","2023","09","15","23:53:57",2023-09-15,"23","Weekday"
"285FC04FEDD20C5C","classic_bike",2023-09-04 19:11:58,"2023-09-05 20:11:51","Dearborn St & Erie St","13045","","","casual",70193,"Monday","2023","09","04","19:11:58",2023-09-04,"19","Weekday"
"9FBD1635D017E455","classic_bike",2023-09-03 19:08:52,"2023-09-04 20:08:40","McCormick Place","TA1305000004","","","casual",70188,"Sunday","2023","09","03","19:08:52",2023-09-03,"19","Weekend"
"3B1C86CBBE3AA646","classic_bike",2023-09-15 15:45:08,"2023-09-16 16:44:58","State St & 123rd St","20210","","","casual",70190,"Friday","2023","09","15","15:45:08",2023-09-15,"15","Weekday"
"72B97F1AD0D92B16","classic_bike",2023-09-12 20:27:03,"2023-09-13 21:26:56","MLK Jr Dr & 29th St","TA1307000139","","","member",70193,"Tuesday","2023","09","12","20:27:03",2023-09-12,"20","Weekday"
"558F86D36494D1BF","classic_bike",2023-09-20 06:55:25,"2023-09-21 07:55:10","Elizabeth St & Fulton St","13197","","","member",70185,"Wednesday","2023","09","20","06:55:25",2023-09-20,"06","Weekday"
"CBF463A036D3661A","classic_bike",2023-09-22 20:14:50,"2023-09-23 21:14:29","Wabash Ave & Wacker Pl","TA1307000131","","","member",70179,"Friday","2023","09","22","20:14:50",2023-09-22,"20","Weekday"
"46381C12C8635861","classic_bike",2023-09-15 09:31:40,"2023-09-16 10:31:33","State St & Van Buren St","TA1305000035","","","casual",70193,"Friday","2023","09","15","09:31:40",2023-09-15,"09","Weekday"
"B95B8AE8879C59BD","classic_bike",2023-09-24 01:10:16,"2023-09-25 02:10:06","Desplaines St & Kinzie St","TA1306000003","","","casual",70190,"Sunday","2023","09","24","01:10:16",2023-09-24,"01","Weekend"
"E64D0BF0CB893C56","classic_bike",2023-09-19 15:20:02,"2023-09-20 11:34:03","Loomis St & Lexington St","13332","Halsted St & Roosevelt Rd","TA1305000017","member",53041,"Tuesday","2023","09","19","15:20:02",2023-09-19,"15","Weekday"
"2E16DDDF815D8084","classic_bike",2023-09-10 11:07:51,"2023-09-11 00:07:41","Clark St & Newport St","632","Calumet Ave & 18th St","13102","casual",26990,"Sunday","2023","09","10","11:07:51",2023-09-10,"11","Weekend"
"45BCFB9F6FBE02AA","classic_bike",2023-09-12 21:27:53,"2023-09-13 09:41:02","Central St & Girard Ave","E007","Sheridan Rd & Noyes St (NU)","604","casual",24189,"Tuesday","2023","09","12","21:27:53",2023-09-12,"21","Weekday"
"F90C4CD6F7E69E6B","classic_bike",2023-09-17 22:05:00,"2023-09-18 06:50:26","Sangamon St & Lake St","TA1306000015","Ashland Ave & Blackhawk St","13224","member",11726,"Sunday","2023","09","17","22:05:00",2023-09-17,"22","Weekend"
